# Type 1, Type 2, Tera Type, Score
ELC,GRD,ELC,100.0000000000
ICE,GRD,GRD,99.0222491788
GRD,RCK,GRD,95.5315914106
GRD,FRY,GRD,95.5079304657
FGT,GRD,GRD,94.5990487174
GRD,FLY,GRD,94.3091618069
GRD,GHT,GRD,94.1955215717
GRD,DRK,GRD,94.1622732575
GRD,STL,STL,93.4272834908
GRD,BUG,GRD,91.7331139311
GRD,FRY,FRY,91.3385503613
GRD,STL,GRD,91.3080908237
WTR,GRD,GRD,91.2653687256
PSN,GRD,GRD,91.2129488451
GRS,GRD,GRD,91.1520338954
ELC,GRD,GRD,91.0830228456
FIR,GRD,GRD,90.5748161891
FGT,GRD,FGT,90.3383318066
FGT,GRD,ELC,90.2008001353
GRD,PSY,GRD,89.8407066675
RCK,FRY,FRY,89.1249935014
GRD,DRG,GRD,88.5925017225
GRD,FRY,ELC,88.4310909655
WTR,FRY,FRY,86.9237303855
GRS,FRY,FRY,86.4861727381
GRD,FLY,ELC,86.4648955598
PSN,GRD,PSN,86.0236255391
NRM,GRD,GRD,85.9446810289
GRD,---,GRD,85.9446810289
WTR,FGT,WTR,85.9433961062
ELC,FGT,ELC,85.6892969328
GRD,GHT,ELC,85.5986993000
GRD,DRK,ELC,85.5418609315
GRD,GHT,GHT,85.2486675095
FGT,STL,STL,84.8136342854
GRD,BUG,ELC,84.4607274546
ICE,FRY,FRY,84.4370491287
FGT,FRY,FRY,84.2248201948
STL,FRY,FRY,83.3475001386
GRD,STL,ELC,83.0970347818
WTR,ELC,WTR,82.9416067427
FIR,GRD,ELC,82.8193890817
ELC,FRY,FRY,82.6010324167
DRK,FRY,FRY,82.4700755919
GHT,FRY,FRY,82.4662125832
PSN,GRD,ELC,82.1990438467
FGT,PSY,FGT,81.9620766044
FGT,FLY,FGT,81.9591274944
FIR,STL,STL,81.4268654426
ELC,GRD,STL,81.4118463408
GRS,FGT,FGT,81.3516100943
FGT,GRD,STL,81.2844514588
ELC,STL,STL,81.2445280894
WTR,FRY,WTR,81.0716622213
ICE,FGT,FGT,80.9400168203
FIR,FRY,FRY,80.8187883449
PSN,FRY,FRY,80.7940114857
FGT,GHT,GHT,80.5318923993
FIR,GRD,FIR,80.4666773803
NRM,GRD,NRM,80.2783803390
GRD,DRK,STL,80.2583393168
GRD,GHT,STL,80.1912980915
FIR,ELC,ELC,80.1888450655
ICE,GRD,STL,80.0816705337
GRD,BUG,STL,79.9073719276
WTR,FGT,FGT,79.8594597752
FGT,DRK,FGT,79.7752774572
FGT,GHT,FGT,79.7545614965
FGT,RCK,FGT,79.7415345337
GRD,RCK,ELC,79.4304338919
ELC,FRY,ELC,79.1582172896
WTR,GRS,WTR,79.1089251688
GRD,DRK,DRK,78.8889452729
FIR,WTR,WTR,78.8024695437
GRS,GRD,FGT,78.5767595274
FGT,GRD,PSN,78.5146477039
ICE,GRD,GHT,78.4831816883
ICE,GRD,ELC,78.2597067811
WTR,GRD,WTR,78.1132463020
WTR,RCK,WTR,78.0506157362
BUG,FRY,FRY,78.0501735883
FLY,FRY,FRY,78.0468957243
FIR,FGT,FGT,78.0402214380
WTR,GHT,WTR,77.9404113355
DRK,STL,STL,77.9156233309
WTR,DRK,WTR,77.9071630213
FGT,FRY,FGT,77.8995605239
GHT,STL,STL,77.8622583389
GRD,RCK,STL,77.8610839745
GRD,PSY,ELC,77.8083057371
ICE,GRD,FGT,77.7638683724
WTR,PSY,WTR,77.4928386238
GRD,FRY,PSN,77.3005339254
ELC,FLY,ELC,76.9575561639
GRD,FRY,STL,76.7983206717
GRD,FLY,FGT,76.7476887183
GRD,PSY,PSY,76.7098610849
GRS,GRD,STL,76.6609703297
ICE,GRD,NRM,76.6605048875
WTR,STL,WTR,76.5766263643
GRS,STL,STL,76.4602999140
FGT,PSN,PSN,76.4265264174
WTR,ICE,WTR,76.3286709160
ELC,FGT,FGT,76.3151353358
ELC,BUG,ELC,76.1552785138
WTR,FLY,WTR,76.1083211435
FGT,DRK,DRK,76.0354879776
FIR,GRD,STL,75.8930423992
ELC,RCK,ELC,75.8332886165
ELC,GHT,ELC,75.8131843568
