# Type 1, Type 2, Tera Type, Score
WTR,GRD,---,100.0000000000
WTR,ELC,WTR,98.1079343776
ELC,GRD,ELC,75.2637487853
WTR,GRD,WTR,71.1364774726
FIR,WTR,WTR,66.4082246697
WTR,---,WTR,66.4082246697
WTR,GRD,GRD,61.9477207769
WTR,ELC,ELC,56.1010568743
ELC,GRD,WTR,55.4394717587
FIR,ELC,WTR,55.3262306952
ELC,---,WTR,55.3262306952
FIR,ELC,ELC,55.0423570548
ELC,---,ELC,54.5080327856
ELC,GRD,GRD,47.9547317974
FIR,GRD,GRD,47.9547317974
GRD,---,GRD,47.9547317974
WTR,GRD,ELC,45.7866770035
FIR,GRD,ELC,45.5377120110
GRD,---,ELC,45.5377120110
WTR,ELC,GRD,41.3729359755
FIR,WTR,GRD,41.3729359755
WTR,---,GRD,41.3729359755
WTR,ELC,---,36.4492687320
FIR,GRD,WTR,28.4017730779
GRD,---,WTR,28.4017730779
FIR,WTR,ELC,24.7484275167
WTR,---,ELC,24.7484275167
GRD,---,---,24.2120187764
FIR,ELC,GRD,24.2120187764
FIR,---,GRD,24.2120187764
ELC,---,GRD,24.2120187764
FIR,---,ELC,23.3907880394
FIR,---,WTR,22.9548738424
WTR,---,---,22.9548738424
ELC,---,---,22.7526524378
FIR,GRD,---,15.2030509310
ELC,GRD,---,12.0127756633
WTR,GRD,FIR,8.6856427082
FIR,GRD,FIR,8.4366777156
ELC,GRD,FIR,8.4366777156
GRD,---,FIR,8.4366777156
FIR,ELC,---,7.9808654510
FIR,WTR,FIR,6.5080953588
FIR,WTR,---,6.1736516631
WTR,ELC,FIR,6.1085747116
WTR,---,FIR,6.1085747116
FIR,ELC,FIR,5.6843766317
FIR,---,FIR,5.5950180580
ELC,---,FIR,5.2848559845
FIR,---,---,5.1700118250
