# Type 1, Type 2, Tera Type, Score
WTR,GRS,WTR,100.0000000000
FGT,STL,STL,95.1432216363
GRS,STL,STL,94.2918664675
WTR,FGT,WTR,94.0519822555
FIR,STL,STL,91.6898507195
GRD,STL,STL,91.5385635382
GRS,FRY,FRY,91.2057282930
RCK,FRY,FRY,90.8731153326
GRS,FGT,STL,88.5709591864
GRS,FGT,WTR,88.3137045049
WTR,FRY,WTR,87.9762491661
WTR,RCK,WTR,87.3194094316
DRK,STL,STL,87.2456236298
GHT,STL,STL,87.1806552470
FGT,FLY,FLY,86.9665610275
GRD,FLY,FLY,86.5179531821
GRS,RCK,FRY,86.3721091113
WTR,GRD,WTR,85.9236723855
FIR,WTR,WTR,85.6300248038
ICE,FGT,STL,85.4560833037
GRS,FLY,FLY,85.4425714520
ICE,STL,STL,85.4220423642
WTR,ICE,WTR,84.9729312487
GRS,FGT,FGT,84.8829040220
WTR,FRY,FRY,84.7589682166
WTR,GHT,WTR,84.6967937111
WTR,DRK,WTR,84.6583611034
ICE,FRY,FRY,84.5207638409
WTR,PSY,WTR,84.4778340060
RCK,STL,STL,84.0526273435
BUG,STL,STL,83.9986622561
FGT,DRK,STL,83.2422938709
FGT,GHT,STL,83.1633624433
FIR,GRS,STL,83.1405854593
FGT,FRY,FRY,83.1023225865
FGT,RCK,STL,83.0334970758
GRS,GRD,STL,82.8621851238
WTR,FLY,WTR,82.4012143374
WTR,STL,WTR,82.2274500574
STL,FRY,FRY,82.0862333811
STL,FRY,STL,81.9906309421
PSN,GRD,PSN,81.7868386711
ICE,FLY,FLY,81.7034142183
DRK,FRY,FRY,81.6149421661
GHT,FRY,FRY,81.6095154129
FGT,PSY,FGT,81.4243096234
WTR,BUG,WTR,81.3525505253
FGT,GRD,FGT,81.2027990469
FLY,STL,STL,81.0513298222
PSY,STL,STL,80.8560295756
FGT,FLY,FGT,80.7029221107
FGT,GHT,GHT,80.6841094190
FGT,PSN,PSN,80.6814259044
GRD,FRY,FRY,80.5003743070
WTR,PSN,WTR,80.2280401157
GRS,DRK,STL,80.2015305112
GRS,GHT,STL,80.0904663272
ICE,GRD,STL,79.8087424916
WTR,STL,STL,79.7033622920
PSN,FRY,FRY,79.5996504994
FIR,FRY,FRY,79.5143597142
GRS,GHT,GHT,79.3865060695
FGT,PSY,WTR,79.2496296391
FGT,GHT,WTR,79.2377556817
FGT,DRK,WTR,79.1720547049
DRG,STL,STL,79.1504935375
FLY,RCK,FLY,79.0486879765
FGT,DRK,FGT,78.9846649972
FGT,RCK,WTR,78.9640597536
FGT,GHT,FGT,78.9603735370
WTR,DRG,WTR,78.8889460065
PSN,STL,STL,78.6505232840
FGT,RCK,FGT,78.5919812981
ICE,FGT,FGT,78.5649493961
FGT,BUG,STL,78.5294702531
FIR,FGT,STL,78.4514243372
GRS,ICE,STL,78.4476279414
ICE,FGT,WTR,78.2944218157
FGT,GRD,STL,78.2159489486
FGT,FLY,STL,78.1276731368
FGT,PSY,STL,77.8915982175
FLY,DRK,FLY,77.8852702352
FLY,GHT,FLY,77.8798434821
WTR,FGT,FGT,77.6419449678
ICE,GRD,GRD,77.6408322393
FIR,DRK,STL,77.5508178200
FIR,FLY,FLY,77.4834161347
FIR,GHT,STL,77.4718863923
GRD,DRK,STL,77.4387051273
GRD,RCK,STL,77.3901218975
GRD,GHT,STL,77.3597736996
GRS,RCK,WTR,77.1209604045
BUG,FRY,FRY,77.1079992333
FIR,ICE,STL,77.0570492869
