# Type 1, Type 2, Tera Type, Score
FGT,GRD,FGT,100.0000000000
FGT,FLY,FGT,95.9694520905
ELC,GRD,ELC,95.7796010922
FGT,PSY,FGT,94.0410625264
ICE,GRD,GRD,93.8775552665
ICE,FGT,FGT,93.6736182537
GRS,FGT,FGT,91.6375053998
FGT,RCK,FGT,90.3087114145
FGT,DRK,FGT,90.2002234479
FGT,GHT,FGT,90.1940965983
WTR,FGT,FGT,89.8839014471
GRD,FLY,GRD,89.7760678548
FGT,GRD,ELC,88.8672802647
GRD,RCK,GRD,88.7714613040
FIR,FGT,FGT,88.5805106187
FGT,GRD,GRD,88.5449033476
GRD,FLY,FGT,88.3261262419
GRD,FLY,ELC,88.0075171037
ICE,GRD,FGT,87.5178562446
GRD,GHT,GRD,86.7276605945
GRD,DRK,GRD,86.7090735134
ELC,FGT,FGT,86.3875612847
FGT,DRG,FGT,86.2262846837
GRD,BUG,GRD,86.2208126188
GRD,PSY,GRD,85.1021283560
ELC,FGT,ELC,84.7062508267
GRS,GRD,FGT,84.6813685231
ELC,GRD,GRD,84.1641960579
FGT,DRK,DRK,83.8481793894
WTR,GRD,GRD,83.6878332871
GRD,BUG,ELC,83.6098782674
GRD,DRG,GRD,83.5837975027
GRS,GRD,GRD,83.5549647571
FIR,GRD,GRD,83.5390358484
GRD,DRK,DRK,82.8152660562
FGT,BUG,FGT,82.6238215460
FGT,PSN,FGT,82.5730944331
WTR,FGT,WTR,82.3377693926
ICE,GRD,DRK,82.1001664209
GRD,GHT,ELC,81.2822376806
GRD,DRK,ELC,81.2504628556
GRD,GHT,GHT,80.8069040079
FGT,STL,FGT,80.7631332915
FGT,FLY,ELC,80.7160828862
NRM,FGT,FGT,80.6861111222
FGT,---,FGT,80.5373184987
FGT,GRD,DRK,79.7537379943
GRD,PSY,FGT,79.4504791773
GRD,DRG,DRG,79.3678335108
GRD,PSY,ELC,79.0688120519
FIR,GRD,ELC,78.9893037625
GRD,STL,GRD,78.8147863500
ELC,FLY,ELC,78.7755815874
PSN,GRD,GRD,78.7712717287
NRM,GRD,GRD,78.7712717287
GRD,---,GRD,78.7712717287
WTR,ELC,WTR,78.6792592690
ICE,FGT,DRK,78.3238409567
GRS,FLY,FGT,78.2844099683
ICE,FLY,FGT,77.9183322999
ICE,PSY,FGT,77.8718649075
FGT,PSY,ELC,77.8346126555
ICE,GRD,ELC,77.6890455119
FGT,FLY,FLY,77.6017781454
ICE,GRD,GHT,77.5929649896
FIR,ELC,ELC,77.4838778097
GRD,DRK,FGT,76.9415126467
GRD,GHT,FGT,76.9353857971
FGT,GHT,GHT,76.8760670704
ICE,DRK,DRK,76.8459000719
ELC,BUG,ELC,76.5652374331
FIR,GRD,FGT,76.5302622925
ELC,GRD,FGT,76.3960187618
WTR,GRD,FGT,76.1235683190
ELC,PSY,ELC,76.0700410081
WTR,ICE,WTR,76.0472040958
GRD,DRG,FGT,75.9892646294
ELC,ICE,ELC,75.9143245103
GRD,RCK,ELC,75.7880840175
ICE,FLY,FLY,75.4301413627
GRD,PSY,PSY,75.3568027652
WTR,PSY,WTR,75.3157599746
GRS,PSY,FGT,75.2762462718
WTR,FLY,WTR,75.2423081785
WTR,FLY,FGT,75.2099068035
ICE,GHT,GHT,75.0409971857
ICE,FGT,GRD,74.9904348514
WTR,GRS,WTR,74.5821854573
ICE,GRD,NRM,74.5283169624
WTR,RCK,WTR,74.4996515996
GRS,GRD,DRK,74.4425703925
ICE,FLY,GRD,74.4280539131
GRD,STL,STL,74.3900563332
FGT,GHT,ELC,74.3206023288
FGT,DRK,ELC,74.2888275038
GRD,FLY,FLY,74.2772402920
GRD,DRG,ELC,74.2582184927
ELC,RCK,ELC,74.1536371143
FGT,DRG,DRG,74.0753261601
ELC,GHT,ELC,74.0245594598
ELC,DRK,ELC,74.0059723787
FGT,PSY,WTR,73.8077243887
FIR,WTR,WTR,73.7896097593
FGT,FLY,WTR,73.6341278922
WTR,GHT,WTR,73.6333486140
WTR,DRK,WTR,73.6147615329
GRD,RCK,FGT,73.6140641625
GRS,DRK,DRK,73.4543450283
NRM,GRD,NRM,73.2081476661
FIR,GRD,FIR,73.0527644479
WTR,BUG,WTR,72.9250510063
ELC,FGT,WTR,72.7884263434
ICE,GRD,PSY,72.7519742598
GRD,FLY,GHT,72.5617188542
WTR,DRG,WTR,72.5251096592
ELC,DRG,ELC,72.5027439032
