# Type 1, Type 2, Tera Type, Score
GRD,FRY,FRY,100.0000000000
RCK,FRY,FRY,98.2990308275
ELC,GRD,ELC,96.2759128875
FGT,FRY,FRY,95.8340456278
GRS,FRY,FRY,95.1171206868
PSN,FRY,FRY,95.0077370872
WTR,FRY,FRY,94.8793273686
PSN,GRD,PSN,94.5026365688
ICE,FRY,FRY,92.0713367668
GHT,FRY,FRY,90.9220475032
DRK,FRY,FRY,90.8839110931
ICE,GRD,GRD,90.8432037382
ELC,FRY,FRY,90.4265051684
FIR,FRY,FRY,90.2897917388
PSN,GRD,GRD,88.9105782275
GRD,RCK,GRD,88.0178468500
FGT,GRD,GRD,87.8915544380
GRD,FRY,GRD,87.6886873217
GRD,GHT,GRD,87.1241109274
GRD,DRK,GRD,87.0483171559
GRD,FLY,GRD,86.6411994518
FGT,GRD,ELC,86.4151573513
BUG,FRY,FRY,86.1138924407
FLY,FRY,FRY,85.9103081074
FGT,PSN,PSN,85.1312570357
GRD,BUG,GRD,84.5990074307
FGT,GRD,PSN,84.5315781936
ELC,FGT,ELC,83.7911711788
ELC,GRD,GRD,83.6005539988
WTR,GRD,GRD,83.5607877799
GRS,GRD,GRD,83.4274573360
PSN,GRD,ELC,83.3702657290
FIR,GRD,GRD,83.2408139661
FGT,GRD,FGT,83.0140581313
GRD,PSY,GRD,82.2961775488
GRD,GHT,GHT,82.2047722913
PSN,PSY,PSN,81.9674459460
PSN,RCK,PSN,81.5565400204
GRD,DRG,GRD,81.3976086798
WTR,FGT,WTR,81.2703953191
PSN,GRD,FRY,80.5822260245
WTR,ELC,WTR,80.5746398057
FGT,GHT,GHT,80.1031089687
GRD,FRY,ELC,80.0601528288
ELC,PSN,ELC,80.0072863888
PSY,FRY,FRY,79.9779407881
DRG,FRY,FRY,79.9489084203
NRM,FRY,FRY,79.9376459801
FRY,---,FRY,79.9376459801
GRD,RCK,PSN,79.7984412385
GRD,FRY,PSN,79.4655795582
NRM,GRD,GRD,78.8655598624
GRD,---,GRD,78.8655598624
GRD,GHT,ELC,78.8308715935
GRD,DRK,ELC,78.7013012853
WTR,FRY,WTR,78.6075039059
GRS,RCK,FRY,78.4694477557
GRD,FLY,ELC,78.4573559960
ELC,FRY,ELC,78.3226696122
WTR,PSN,WTR,78.1671531245
PSN,RCK,FRY,78.1389270474
ELC,GRD,PSN,78.1322001101
NRM,GRD,NRM,77.7964755045
FIR,GRD,ELC,77.6924798897
ELC,PSN,PSN,77.6428408363
WTR,RCK,WTR,77.5568935605
GRD,BUG,ELC,77.5312587142
PSN,GHT,PSN,77.5267096358
PSN,FRY,PSN,77.5261458262
PSN,DRK,PSN,77.4748072954
GRS,PSN,PSN,77.4451066177
FGT,PSN,FRY,77.1533876287
FGT,GRD,FRY,77.0128909484
WTR,GRS,WTR,76.9676660022
GRD,RCK,FRY,76.8602570464
WTR,PSY,WTR,76.6113292025
ELC,FLY,ELC,76.5111697638
ELC,RCK,ELC,76.5021783209
WTR,GHT,WTR,76.3908885521
WTR,DRK,WTR,76.3150947805
FIR,ELC,ELC,76.3021440773
ELC,BUG,ELC,76.2758542565
ELC,PSY,ELC,76.2668257961
GRS,PSN,FRY,76.2293400188
GRS,GRD,FRY,76.0774804473
ICE,GRD,FRY,76.0715678382
ELC,GHT,ELC,75.9907312664
ELC,DRK,ELC,75.9149374949
ICE,FGT,ICE,75.6330309958
WTR,PSN,PSN,75.5884544524
GRD,FLY,PSN,75.3728875350
FGT,PSY,FGT,75.1978856661
PSN,FLY,PSN,75.1931412853
RCK,GHT,GHT,74.9431691320
FIR,PSN,PSN,74.8505932105
ICE,PSN,PSN,74.7629701542
ICE,GRD,ICE,74.6022036969
WTR,ICE,WTR,74.5175399033
ICE,GHT,GHT,74.5107815564
GRD,RCK,ELC,74.4205664340
GRS,GHT,GHT,74.2737429581
FIR,GRD,PSN,74.2538732836
GRD,GHT,FRY,74.0444209169
GRD,DRK,FRY,73.9792262933
WTR,FLY,WTR,73.9593934025
ELC,ICE,ELC,73.9265542299
PSN,GHT,GHT,73.9071114119
FIR,GRD,FRY,73.7952878907
FGT,PSN,ELC,73.6014394625
FIR,WTR,WTR,73.5871820907
ICE,GRD,PSN,73.5773653539
GRD,DRK,DRK,73.5065041551
ELC,GRD,FRY,73.4497367136
FIR,GRD,FIR,73.4224750391
FGT,FLY,FGT,73.4154424608
WTR,BUG,WTR,73.4140498229
GRD,PSY,PSY,73.0578903333
GRD,GHT,PSN,72.9022227000
GRD,DRK,PSN,72.8178857733
WTR,GRD,WTR,72.7443316815
GRS,GRD,PSN,72.7088194136
GRS,FGT,FRY,72.6202017817
NRM,FGT,NRM,72.5682773644
ICE,FGT,FRY,72.5296150757
GRS,FGT,FGT,72.4972547358
FGT,RCK,FRY,72.4853120920
GRS,GRD,FGT,72.4461545730
WTR,PSN,FRY,72.4167536210
ICE,FGT,FGT,72.2423052737
WTR,GHT,GHT,71.9697645249
WTR,ELC,ELC,71.9643643783
FGT,DRK,DRK,71.8673829201
ICE,GRD,FGT,71.8298830462
FGT,PSY,PSY,71.7334562160
FGT,PSY,PSN,71.6906970644
RCK,GHT,FRY,71.6629636935
FGT,DRK,FGT,71.6110778946
RCK,DRK,FRY,71.5977690699
FGT,GHT,FGT,71.5818296447
ICE,GRD,GHT,71.4588200705
ICE,PSY,PSY,71.4002881992
FGT,RCK,FGT,71.2728086186
PSN,PSY,PSY,71.2579253768
GRD,FLY,FGT,71.2133366641
WTR,DRG,WTR,71.2119932476
PSN,DRG,PSN,71.1387579596
GRS,PSY,PSY,71.1251196797
ICE,GRD,ELC,71.0496638950
WTR,FGT,FGT,70.8343465391
ICE,PSN,ICE,70.8164235957
PSN,BUG,PSN,70.8119168037
FGT,RCK,PSN,70.7650216629
FGT,GHT,FRY,70.6895304809
PSN,GRD,GHT,70.6498340036
FGT,DRK,FRY,70.6243358573
PSY,GHT,GHT,70.4181108901
GRD,PSY,PSN,70.3507288898
ELC,DRG,ELC,70.2719631871
FGT,GRD,DRK,70.2619043562
FGT,GRD,NRM,70.1128910902
ELC,GHT,GHT,70.0427346395
ICE,PSN,GRD,69.9779255079
ELC,FGT,FRY,69.9439794879
FGT,PSY,ELC,69.9186471544
FIR,FGT,FGT,69.9124471917
FLY,GHT,GHT,69.8921392422
FIR,GHT,GHT,69.8734207380
ELC,FGT,PSN,69.7508726039
GRS,GHT,FRY,69.6503239301
GRS,DRK,FRY,69.5851293065
GRD,PSY,ELC,69.5500877240
PSN,GHT,FRY,69.5399452156
PSN,DRK,FRY,69.5087538111
ICE,RCK,ICE,69.4709542763
FGT,FRY,FGT,69.3987003216
FIR,GRS,FRY,69.3788302214
FIR,ICE,ICE,69.3518968545
FGT,GHT,ELC,69.2068193320
GRD,RCK,RCK,69.1838754768
WTR,PSY,PSY,69.1117664954
FGT,DRK,ELC,69.0772490238
ICE,GRD,NRM,68.9664928656
PSY,RCK,PSY,68.9539445379
NRM,GRS,NRM,68.9356573371
FGT,GRD,GHT,68.8383534740
ICE,GHT,ICE,68.8300469796
ELC,PSN,FRY,68.8263252511
ICE,DRK,ICE,68.7919105695
WTR,FGT,FRY,68.7836247956
GRS,ICE,ICE,68.7409320250
ELC,ICE,ICE,68.7265720847
ICE,FLY,FLY,68.7248292577
PSN,GRD,NRM,68.6886627433
ICE,GRD,DRK,68.6788148762
GRD,BUG,PSN,68.6614198164
FGT,FLY,ELC,68.5927253035
WTR,RCK,FRY,68.5925781530
PSN,FLY,FLY,68.4426676070
ELC,GRS,ELC,68.4145186159
ICE,FGT,GRD,68.3704441314
NRM,PSN,PSN,68.3139350656
ELC,FGT,FGT,68.1659017620
FGT,PSN,GRD,68.0947687668
GRS,FLY,FLY,68.0755823609
ICE,PSN,FRY,68.0436089989
GRD,DRG,PSN,67.9984467554
PSN,FRY,GRD,67.8107704590
